epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.23,1.67855,2.92335,1.64882,0.58553,0.14786,0.13286,0.06228,1.91282,2.98878,1.79528,0.0673143,0.000330159,0.000330159
2,323.522,1.63399,2.40794,1.61066,0.38526,0.32586,0.21901,0.10516,1.75011,2.60732,1.73737,0.0343136,0.000662844,0.000662844
3,530.925,1.60479,2.28993,1.6009,0.45096,0.306,0.22883,0.11756,1.76638,2.58699,1.73256,0.00131039,0.000992935,0.000992935
4,681.864,1.61187,2.24381,1.61073,0.47266,0.26763,0.22432,0.12705,1.65612,2.71579,1.67274,0.000991232,0.000991232,0.000991232
5,820.067,1.56586,2.13305,1.58746,0.43021,0.33949,0.25471,0.13771,1.62734,2.39218,1.61796,0.000984449,0.000984449,0.000984449
6,971.398,1.56141,2.11196,1.5747,0.50453,0.40368,0.34034,0.19779,1.553,2.23606,1.58545,0.000975773,0.000975773,0.000975773
7,1088.41,1.51438,2.04825,1.55201,0.54644,0.38446,0.31841,0.17495,1.5601,2.08554,1.55666,0.000965239,0.000965239,0.000965239
8,1209.79,1.48626,2.02643,1.53436,0.50973,0.42741,0.34534,0.20417,1.50866,2.19023,1.52872,0.000952889,0.000952889,0.000952889
9,1419.4,1.47639,1.98528,1.52597,0.53893,0.36631,0.32616,0.1891,1.52506,2.13375,1.57511,0.000938772,0.000938772,0.000938772
10,1628.96,1.43641,1.97432,1.50824,0.5956,0.3922,0.36985,0.21223,1.48758,2.05171,1.51566,0.000922942,0.000922942,0.000922942
11,1757.51,1.43396,1.93844,1.49086,0.60465,0.42908,0.37392,0.21746,1.44897,2.00456,1.49261,0.000905463,0.000905463,0.000905463
12,1877.28,1.413,1.89587,1.48731,0.58572,0.41477,0.36593,0.22393,1.33993,1.92413,1.42057,0.000886404,0.000886404,0.000886404
13,2099.43,1.38472,1.88378,1.46175,0.58936,0.4345,0.39489,0.2397,1.38177,1.88832,1.43497,0.000865839,0.000865839,0.000865839
14,2328.66,1.36649,1.82484,1.44943,0.59857,0.41922,0.38444,0.2439,1.39633,2.00065,1.4259,0.000843851,0.000843851,0.000843851
15,2446.46,1.36703,1.80328,1.44589,0.60661,0.44841,0.40611,0.24793,1.37853,1.91424,1.4079,0.000820525,0.000820525,0.000820525
16,2600.54,1.35648,1.80512,1.43984,0.64363,0.42751,0.42166,0.25801,1.356,1.82789,1.39131,0.000795954,0.000795954,0.000795954
17,2830.91,1.33645,1.75181,1.42684,0.60951,0.43208,0.41709,0.26109,1.34481,1.81175,1.40922,0.000770234,0.000770234,0.000770234
18,3043.68,1.34076,1.77735,1.42868,0.61925,0.47407,0.43207,0.27225,1.30111,1.78696,1.37129,0.000743468,0.000743468,0.000743468
19,3205.43,1.32107,1.76896,1.42383,0.6252,0.47798,0.43984,0.28577,1.31327,1.74035,1.3923,0.000715761,0.000715761,0.000715761
20,3342.9,1.29556,1.74942,1.41863,0.65373,0.45938,0.46346,0.30237,1.28971,1.70735,1.37169,0.000687222,0.000687222,0.000687222
21,3553.08,1.29894,1.70687,1.40568,0.67212,0.4636,0.44493,0.29549,1.27229,1.74405,1.36451,0.000657963,0.000657963,0.000657963
22,3806.56,1.25828,1.66824,1.38144,0.69969,0.46012,0.46673,0.30506,1.20549,1.70619,1.32089,0.000628101,0.000628101,0.000628101
23,3924.54,1.26047,1.68567,1.38981,0.71751,0.45316,0.47183,0.31352,1.22394,1.68521,1.3065,0.000597754,0.000597754,0.000597754
24,4066.85,1.25061,1.6438,1.37537,0.68058,0.47312,0.47088,0.31832,1.2102,1.65455,1.30477,0.00056704,0.00056704,0.00056704
25,4277.32,1.2375,1.65113,1.36466,0.72082,0.46317,0.49823,0.33192,1.18479,1.61675,1.28746,0.000536081,0.000536081,0.000536081
26,4497.63,1.23659,1.63775,1.36712,0.51851,0.47516,0.46689,0.31376,1.1965,1.6524,1.29087,0.000505,0.000505,0.000505
27,4623.14,1.21021,1.589,1.33765,0.5369,0.46857,0.48273,0.32827,1.15492,1.58501,1.27685,0.000473919,0.000473919,0.000473919
28,4736.49,1.21736,1.60303,1.36221,0.67884,0.50118,0.48761,0.33729,1.16251,1.57062,1.26911,0.00044296,0.00044296,0.00044296
29,4946.51,1.2046,1.56985,1.35283,0.51383,0.5,0.49746,0.34149,1.18347,1.61787,1.27623,0.000412246,0.000412246,0.000412246
30,5182.76,1.16285,1.53483,1.32512,0.71249,0.45768,0.47601,0.33,1.1416,1.64252,1.26163,0.000381899,0.000381899,0.000381899
31,5304.53,1.1831,1.55541,1.34172,0.52447,0.4815,0.49069,0.33311,1.14993,1.59073,1.25689,0.000352037,0.000352037,0.000352037
32,5455.6,1.16322,1.52782,1.33218,0.52638,0.49434,0.49521,0.34957,1.11415,1.53117,1.2434,0.000322778,0.000322778,0.000322778
33,5587.03,1.1389,1.48483,1.31234,0.53431,0.51447,0.50165,0.3528,1.08964,1.51978,1.22684,0.000294239,0.000294239,0.000294239
34,5707.77,1.14454,1.47225,1.31455,0.52837,0.49278,0.50043,0.36009,1.09948,1.54558,1.22539,0.000266532,0.000266532,0.000266532
35,5821.17,1.12497,1.46487,1.3027,0.52079,0.52666,0.50663,0.35684,1.08921,1.50364,1.22771,0.000239766,0.000239766,0.000239766
36,5966.54,1.11541,1.45184,1.29601,0.56451,0.49963,0.5145,0.3671,1.07665,1.48283,1.22088,0.000214046,0.000214046,0.000214046
37,6186.15,1.11051,1.42418,1.29452,0.55337,0.50819,0.52024,0.37104,1.08953,1.47352,1.21458,0.000189475,0.000189475,0.000189475
38,6425.29,1.1062,1.40478,1.28886,0.55757,0.49251,0.51542,0.37434,1.07878,1.50734,1.21622,0.000166149,0.000166149,0.000166149
39,6586.37,1.0949,1.40681,1.2782,0.57011,0.49289,0.52367,0.37985,1.07116,1.46659,1.21336,0.000144161,0.000144161,0.000144161
40,6730.29,1.10085,1.42231,1.29074,0.56114,0.50826,0.52053,0.37654,1.0618,1.46242,1.21023,0.000123596,0.000123596,0.000123596
41,6921.37,1.08214,1.3776,1.29648,0.54619,0.50994,0.52232,0.37542,1.05,1.47844,1.20385,0.000104537,0.000104537,0.000104537
42,7126.13,1.05881,1.34734,1.29602,0.57358,0.49923,0.52418,0.37977,1.04465,1.49721,1.20163,8.70577e-05,8.70577e-05,8.70577e-05
43,7249.32,1.05097,1.29871,1.28119,0.55992,0.51977,0.53016,0.38501,1.03509,1.45721,1.19238,7.12282e-05,7.12282e-05,7.12282e-05
44,7361.88,1.03137,1.27438,1.27636,0.57321,0.51363,0.5253,0.38633,1.02784,1.48082,1.19191,5.71106e-05,5.71106e-05,5.71106e-05
45,7569.64,1.03307,1.28308,1.27535,0.55761,0.52585,0.53153,0.39039,1.02797,1.46098,1.18865,4.47606e-05,4.47606e-05,4.47606e-05
46,7765.79,1.04574,1.25691,1.27186,0.55638,0.53604,0.52946,0.38891,1.02635,1.46178,1.18869,3.4227e-05,3.4227e-05,3.4227e-05
47,7879.23,1.02179,1.2553,1.26585,0.56053,0.527,0.53362,0.39093,1.02379,1.45802,1.18735,2.55513e-05,2.55513e-05,2.55513e-05
